epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.787,1.14167,2.35471,1.14481,0.9188,0.56578,0.83261,0.49453,1.19726,2.9651,1.24063,0.000985714,0.000985714,0.000985714
2,228.607,1.14638,1.89124,1.14935,0.72442,0.8625,0.86876,0.50371,1.34865,2.57024,1.37649,0.00133043,0.00133043,0.00133043
3,353.953,1.12014,1.71243,1.14644,0.98233,0.9125,0.98627,0.66627,1.07854,1.95246,1.10243,0.00068,0.00068,0.00068
